Gene,Exp
SPG21,7.484767
LOC57228,3.725599
MT1M,6.412558
FGFR1OP2,4.074802
ADARB1,2.660916
C1ORF57,8.726255
SRPK2,2.041832
CEACAM4,1.960553
YTHDF3,7.004778
GALT,6.594497
SEC23B,8.404295
OR2AG2,2.08198
KIAA0152,9.849417
KIAA0319,2.899897
HR,2.254335
TSEN54,6.271384
RPS6KA5,5.275385
CLEC12B,1.909414
CCDC34,10.127349
MVD,6.297124
TSPYL2,6.360922
ASNA1,2.308742
SCN3A,2.1785
BRRN1,3.456076
ZFHX4,2.123633
LOC653150,2.713968
NSFL1C,7.38812
CBFA2T3,1.866084
STAP2,4.976628
FANCD2,3.133902
LOC654182,2.233829
KCNIP2,2.025285
MGC16943,2.965051
ZNF644,4.692933
VAV3,4.692037
CCDC69,3.315576
GFM1,8.093051
C1ORF198,7.287889
SAR1A,7.551224
MGC15912,5.87714
MGLL,2.086682
TRIM34,2.672342
ZNF539,5.176107
C15ORF17,6.901858
BPHL,8.477118
FLJ16008,3.939203
CNNM1,3.373977
C1ORF82,6.289071
SYT17,5.117607
TRIM29,1.908659
EIF5,2.359039
CRTC2,2.912932
SFRS11,5.974776
STMN1,9.140335
FIBP,8.837309
CFH,2.057802
PPM1M,5.334911
IQCB1,2.467265
TMEPAI,2.40658
PLEKHG2,5.606152
ZC3H8,4.705904
JMJD5,3.407902
SUNC1,2.249735
MITF,1.943026
ACTL6B,2.673765
AHCY,11.403633
TMUB2,6.16926
SIRT4,3.57484
ABL2,1.533138
RSAD2,1.837268
NME2,6.354233
SALL1,5.875252
TNKS,4.177377
TLR8,1.905403
TXNRD2,4.014305
MTP18,5.16671
C1ORF84,2.306798
RHEB,9.755653
FMNL3,1.755464
KRTAP1-1,2.652602
KIAA1822,2.053175
MSRB2,8.075328
TERF2IP,6.13711
ADNP,8.210293
MBNL2,1.670589
C20ORF174,1.569771
SPN,2.103153
RAD54L,6.42671
CRABP1,9.546534
ATP1B1,7.947367
ZCCHC13,1.826825
ZNF573,6.89322
FRMPD2,2.025989
ABT1,4.859941
ZNF365,2.522761
C18ORF19,5.869062
PFC,1.981824
DAZ2,2.104322
RFC3,7.581765
TRIP11,6.357067
MAP3K10,2.104533
ZNF501,3.212269
TMEM29,6.337069
NR4A3,1.467562
ZNF418,4.396619
GGA1,2.444207
ABCG1,4.686278
RKHD2,8.015176
KIAA1026,1.434066
C1ORF102,2.301359
MPFL,2.860245
LOC653771,1.339632
DRD2,1.934556
BTBD14B,4.269214
FBXL10,2.329192
KHDRBS2,2.333947
PSD3,3.928346
OAS1,2.162539
ABCB5,2.495632
DRG1,9.062441
MAPKBP1,2.766585
LSS,4.15113
L3MBTL,2.443098
WDR54,9.292032
MGC2654,7.565507
FAM83E,2.890355
PCYT1A,2.015572
BAZ1A,4.523347
ECM1,2.894785
C1ORF108,9.795831
FIS1,7.914315
DKFZP586H2123,7.11342
TACR3,2.384646
USP52,5.72809
FLJ32926,2.300954
CRTAC1,2.987259
DAOA,1.700227
FLJ23577,1.715848
SLC43A3,4.242153
CHD4,9.26569
DSCAM,4.025403
DAG1,9.427188
WNT10A,1.63391
SFXN4,7.780313
FAM53A,3.396183
APH1A,8.510465
IL1A,3.692136
MRPL54,8.44915
RGC32,3.657636
SLC44A3,4.899571
SYT13,6.110015
CHKA,8.321037
IQSEC2,3.471685
SLC13A3,4.491137
RYK,7.92387
GALNT5,2.088521
PTPRN,5.334313
CDK5RAP3,5.502357
WWC1,7.422791
UBXD1,6.690817
RREB1,2.08198
NALP7,4.515946
MRE11A,4.344333
LOC283537,2.900526
C3ORF57,1.863692
ACTC,10.229616
CDH23,2.52073
DTX3,6.349817
SAAL1,8.800994
FLJ44968,3.737898
ATP9B,3.387857
KIAA1904,2.443241
NUF2,4.69813
HIST1H2BJ,7.017877
ST6GALNAC2,1.943386
FAM19A4,4.025796
TNFSF11,1.561025
NRXN3,2.752205
DEPDC5,5.504499
CCNDBP1,3.646391
NPB,2.735648
PEX19,7.089395
PIGF,3.616808
EGFL5,1.463467
BRPF3,7.83261
KRTCAP2,9.248073
BRE,2.256173
SLC5A10,1.831713
HMOX2,3.041433
SEZ6,4.401978
CAMK2D,2.118015
SAMD1,6.490689
C10ORF26,6.460279
NHN1,5.59588
ARHGAP25,1.380464
ARAF,6.728461
LOC221955,7.763173
SLC1A1,3.479781
MCTP1,1.551757
JAG2,2.117424
NOTCH3,8.341842
GNB2,5.963501
PPP2R4,3.308228
LOC649555,2.164971
LCP2,2.265333
GABBR1,1.216715
CREB5,2.232348
RKHD3,6.65578
ACOT9,7.795689
NANOG,7.24181
LOC119710,7.79294
TMCC2,2.714695
POLR2K,4.197318
SLC2A1,9.245102
MGC33692,4.175976
PPP1R10,6.585663
OR51G1,1.831079
SPP2,1.545608
HLA-DOA,7.033237
CD40LG,1.821696
FLJ44216,1.101068
ZCRB1,3.874282
NEFL,3.812566
PSMA8,2.334145
PHLDA3,6.246619
KLF10,5.13958
CACNA1F,2.605849
MDK,6.648401
